HITId,HITTypeId,Title,Description,Keywords,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,AssignmentId,WorkerId,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.occu,Input.question,Input.url,Answer.Description_0,Answer.Description_1,Approve,Reject
302OLP89E2QLT7R1RXBUXQJTZZLACX,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,3DUZQ9U6SQ7NEWHOPGXSW2XD4I8VS3,A1C8FN01981A69,4,99% (113/114),100% (13/13),100% (13/13),groom,Is the image about groom?,https://minidalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt5/a+photo+of+a+groom/5.jpg,1,1,,
302OLP89E2QLT7R1RXBUXQJTZZLACX,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,35K3O9HUAFWX8GQGO68JPZQCFXBEFX,A1JMLIR4TD5QHT,5,100% (1/1),100% (1/1),100% (1/1),groom,Is the image about groom?,https://minidalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt5/a+photo+of+a+groom/5.jpg,1,2,,
302OLP89E2QLT7R1RXBUXQJTZZLACX,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,3AAPLD8UCG0JBVZJ9RLER62QYMBHTO,AYIPZ8C1UFDC1,37,100% (24/24),100% (24/24),100% (24/24),groom,Is the image about groom?,https://minidalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt5/a+photo+of+a+groom/5.jpg,1,1,,
304QEQWK0S3Q1JQMP0NS3K1XFRS0OT,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,3URFVVM1691K2TE2FIHVW9SXDQZUZI,A38CDYAQ00NBGE,4,100% (2/2),100% (2/2),100% (2/2),wedding,Is the image about wedding?,https://minidalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt5/a+photo+of+a+wedding/0.jpg,1,1,,
304QEQWK0S3Q1JQMP0NS3K1XFRS0OT,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,3HRMW88U1A94N0332MDHZ08HIXD0M4,A3SHFOPG16PGNX,5,0% (0/0),0% (0/0),0% (0/0),wedding,Is the image about wedding?,https://minidalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt5/a+photo+of+a+wedding/0.jpg,1,4,,
304QEQWK0S3Q1JQMP0NS3K1XFRS0OT,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,3KWTYT0874MJCP7JZGIEGIPJZ0ZL59,AD1ILDUXZHASF,4,100% (206/206),100% (74/74),100% (74/74),wedding,Is the image about wedding?,https://minidalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt5/a+photo+of+a+wedding/0.jpg,1,1,,
306996CF7Z36PEMVHEM6B5K8DKFB13,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,31EUONYN2ZM8G4PVIZGJCXNC7T4VO5,A38CDYAQ00NBGE,4,100% (2/2),100% (2/2),100% (2/2),bride,Is the image about bride?,https://minidalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/3.jpg,1,2,,
306996CF7Z36PEMVHEM6B5K8DKFB13,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,3PS7W85Z83LQWPH0BFXMEP42F939TQ,A3O0NNIW4KA2PV,5,100% (49/49),100% (6/6),100% (6/6),bride,Is the image about bride?,https://minidalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/3.jpg,1,2,,
306996CF7Z36PEMVHEM6B5K8DKFB13,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,3TAYZSBPLPREH5JM16DHUX027KG2S3,A3VPLXN0T0AIBH,15,100% (2/2),100% (2/2),100% (2/2),bride,Is the image about bride?,https://minidalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/3.jpg,1,1,,
306W7JMRZ1HO0E6GGZVLQF7GRQL8BK,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,3NVC2EB65UI0Y9RE4CJBVTTVUJC3YT,A1AJGIOBFVELS3,8,100% (59/59),100% (59/59),100% (59/59),wedding,Is the image about wedding?,https://mindalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt6/a+photo+of+a+wedding/5.jpg,1,1,,
306W7JMRZ1HO0E6GGZVLQF7GRQL8BK,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,36WLNQG783T7VZE0J4MN69ZR0ZKEBG,A2E6Z6NDAES26P,4,100% (109/109),100% (109/109),100% (109/109),wedding,Is the image about wedding?,https://mindalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt6/a+photo+of+a+wedding/5.jpg,1,1,,
306W7JMRZ1HO0E6GGZVLQF7GRQL8BK,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4759081;OriginalHitTemplateId:928390828;,180,259200,3SLE99ER0RW56U5WFR00RJ09O5TBZJ,AD1ILDUXZHASF,5,100% (206/206),100% (74/74),100% (74/74),wedding,Is the image about wedding?,https://mindalle-images.s3.us-west-1.amazonaws.com/geographical/Prompt6/a+photo+of+a+wedding/5.jpg,1,1,,
