HITId,HITTypeId,Title,Description,Keywords,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,AssignmentId,WorkerId,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.occu,Input.question,Input.url,Answer.Description_0,Answer.Description_1,Approve,Reject
32CAVSKPDH8LLDV1H531GVCW5KH1U2,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4899395;OriginalHitTemplateId:928390828;,180,259200,3EFVCAY5L7SW4H2LUTD4CNMICGBJ8W,A28TA25NJGLL3Y,26,100% (2/2),100% (2/2),100% (2/2),bride,Is the image about bride?,https://stablediffusionimages.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/0.jpg,1,1,,
32CAVSKPDH8LLDV1H531GVCW5KH1U2,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4899395;OriginalHitTemplateId:928390828;,180,259200,36U2A8VAG5I6U7ZLPIBACFAXKKDYKN,A2G23RE33ZMMAR,150,100% (3/3),100% (3/3),100% (3/3),bride,Is the image about bride?,https://stablediffusionimages.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/0.jpg,1,1,,
32CAVSKPDH8LLDV1H531GVCW5KH1U2,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4899395;OriginalHitTemplateId:928390828;,180,259200,3D3VGR7TA4YR18FSQHRHNX0Y6BD3RG,A37HH9CUVRNJR0,12,100% (5/5),100% (5/5),100% (5/5),bride,Is the image about bride?,https://stablediffusionimages.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/0.jpg,1,1,,
3BFF0DJK90V6FKF6UJSB70D3C6MTSM,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4899395;OriginalHitTemplateId:928390828;,180,259200,3RRCEFRB7QVP3XH7UYAAXNN02P6B4W,A3A448MW1VKCV,41,100% (15/15),100% (14/14),100% (14/14),bride,Is the image about bride?,https://stablediffusionimages.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/1.jpg,1,1,,
3BFF0DJK90V6FKF6UJSB70D3C6MTSM,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4899395;OriginalHitTemplateId:928390828;,180,259200,33FBRBDW6SI9W3WFK1WIPJ9NMW18C6,A3GEH2H8KT3WWN,35,100% (1/1),100% (1/1),100% (1/1),bride,Is the image about bride?,https://stablediffusionimages.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/1.jpg,1,1,,
3BFF0DJK90V6FKF6UJSB70D3C6MTSM,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4899395;OriginalHitTemplateId:928390828;,180,259200,3LS2AMNW5J9GBWTEW0M96AO45G6QOW,AK5427AIM9U0B,27,100% (2/2),100% (1/1),100% (1/1),bride,Is the image about bride?,https://stablediffusionimages.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/1.jpg,1,1,,
3BC9H1KCZXVV3NV9OUPBC683XL0YWV,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4899395;OriginalHitTemplateId:928390828;,180,259200,35GCEFQ6I9703Z1J0YLU902XFSW3Z9,A1JUR7QCV4GS1,167,100% (8/8),100% (8/8),100% (8/8),bride,Is the image about bride?,https://stablediffusionimages.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/2.jpg,1,1,,
3BC9H1KCZXVV3NV9OUPBC683XL0YWV,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4899395;OriginalHitTemplateId:928390828;,180,259200,3ZR9AIQJUFSOJAEXWIDLD6RHBL9403,A2W6QFKXRQ5FCP,127,100% (2/2),100% (2/2),100% (2/2),bride,Is the image about bride?,https://stablediffusionimages.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/2.jpg,1,1,,
3BC9H1KCZXVV3NV9OUPBC683XL0YWV,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4899395;OriginalHitTemplateId:928390828;,180,259200,3JAOYWH7VMN2DC9V26VVSYUL0BXL9O,A3AHEYM7TME2TV,86,100% (7/7),100% (7/7),100% (7/7),bride,Is the image about bride?,https://stablediffusionimages.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/2.jpg,1,1,,
36D1BWBEIQK9XQ8OR7CTU457K4RM2B,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4899395;OriginalHitTemplateId:928390828;,180,259200,3DL65MZB8HYQ5466X4IIHT59XZZECB,A3EM9OBO5KU9GG,51,100% (17/17),100% (1/1),100% (1/1),bride,Is the image about bride?,https://stablediffusionimages.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/3.jpg,1,1,,
36D1BWBEIQK9XQ8OR7CTU457K4RM2B,3W9SL2918IKM91FLIH1FNFXAW5MZBR,Culture Identification on Generated Images,Easy task! Identify whether a scene is Western or non-Western!,"culture, Western, image",3,BatchId:4899395;OriginalHitTemplateId:928390828;,180,259200,3E337GFOLDR7GMZOSPHKX7KX9JTGND,AH0NG7PISCRNQ,25,100% (2/2),100% (2/2),100% (2/2),bride,Is the image about bride?,https://stablediffusionimages.s3.us-west-1.amazonaws.com/geographical/Prompt1/a+photo+of+a+bride/3.jpg,1,1,,
